alcohol,volatile acidity,sulphates,density,chlorides
9.4,0.7,0.56,0.9978,0.076
9.8,0.88,0.68,0.9968,0.098
9.8,0.76,0.65,0.997,0.092
9.8,0.28,0.58,0.998,0.075
9.4,0.7,0.56,0.9978,0.076
9.4,0.66,0.56,0.9978,0.075
9.4,0.6,0.46,0.9964,0.069
10.0,0.65,0.47,0.9946,0.065
9.5,0.58,0.57,0.9968,0.073
10.5,0.5,0.8,0.9978,0.071
9.2,0.58,0.54,0.9959,0.097
10.5,0.5,0.8,0.9978,0.071
9.9,0.615,0.52,0.9943,0.089
9.1,0.61,1.56,0.9974,0.114
9.2,0.62,0.88,0.9986,0.176
9.2,0.62,0.93,0.9986,0.17
10.5,0.28,0.75,0.9969,0.092
9.3,0.56,1.28,0.9968,0.368
9.0,0.59,0.5,0.9974,0.086
9.2,0.32,1.08,0.9969,0.341
9.4,0.22,0.53,0.9968,0.077
9.7,0.39,0.65,0.9982,0.082
9.5,0.43,0.91,0.9966,0.106
9.4,0.49,0.53,0.9968,0.084
9.7,0.4,0.63,0.9968,0.085
9.3,0.39,0.56,0.9955,0.08
9.5,0.41,0.59,0.9962,0.08
9.5,0.43,0.91,0.9966,0.106
9.4,0.71,0.55,0.9972,0.08
9.8,0.645,0.59,0.9964,0.082
10.1,0.675,0.54,0.9958,0.089
10.6,0.685,0.57,0.9966,0.105
9.8,0.655,0.66,0.9966,0.083
9.4,0.605,0.52,0.9993,0.073
9.2,0.32,0.55,0.9957,0.103
9.6,0.645,0.55,0.9986,0.086
10.8,0.6,0.6,0.9975,0.086
9.7,0.38,0.73,0.9968,0.066
9.8,1.13,0.48,0.994,0.172
10.5,0.45,0.83,0.9978,0.074
10.5,0.45,0.83,0.9978,0.074
9.3,0.61,0.51,0.9976,0.088
10.5,0.49,0.9,0.9968,0.332
10.3,0.66,1.2,0.9968,0.069
9.5,0.67,0.52,0.9962,0.05
13.1,0.52,0.56,0.9934,0.054
9.2,0.935,0.73,0.997,0.114
9.5,0.29,0.58,0.9969,0.113
9.2,0.4,0.56,0.9958,0.066
9.2,0.31,0.58,0.9954,0.074
9.2,0.66,0.74,0.9971,0.074
9.4,0.52,0.63,0.9956,0.069
9.4,0.5,0.64,0.9955,0.068
9.4,0.38,0.56,0.997,0.081
10.2,0.51,0.63,0.9955,0.11
9.5,0.62,0.53,0.9978,0.084
9.6,0.42,0.63,0.9971,0.07
9.4,0.63,0.77,0.9983,0.111
10.0,0.59,0.59,0.9975,0.076
9.4,0.39,0.54,0.9962,0.074
9.2,0.4,0.64,0.998,0.079
9.3,0.69,0.71,0.9968,0.115
9.5,0.52,0.62,0.9968,0.085
9.8,0.735,0.57,0.9966,0.081
10.9,0.725,0.39,0.9962,0.086
10.9,0.725,0.39,0.9962,0.086
9.6,0.52,0.58,0.9968,0.079
10.7,0.705,0.58,0.9962,0.076
10.7,0.32,0.79,0.9969,0.074
10.5,0.705,0.95,0.9962,0.074
9.5,0.63,0.54,0.9967,0.076
9.5,0.67,0.48,0.9962,0.088
9.5,0.69,0.48,0.9961,0.084
